timestamp,quality_setting,expected_bitrate,protocol,length,src_port,dst_port,tcp_flags,seq_num,ack_num,src_ip,dst_ip,ttl,is_spotify_tls,tls_record_length,iat,second,throughput_kbps
1763226680.1308005,Baja,24,TLS,139,51530,443,0x0018,2592,4493,192.168.174.137,2.17.211.227,64,True,80.0,0.12064337730407715,1763226680,208.336
1763226680.1457114,Baja,24,TLS,1357,443,51530,0x0018,4493,2677,2.17.211.227,192.168.174.137,128,True,295.0,0.01491093635559082,1763226680,208.336
1763226680.7482426,Baja,24,TLS,142,52742,443,0x0018,2828,16450,192.168.174.137,2.17.211.234,64,True,83.0,0.6025311946868896,1763226680,208.336
1763226680.7485704,Baja,24,TLS,141,52742,443,0x0018,2916,16450,192.168.174.137,2.17.211.234,64,True,82.0,0.00032782554626464844,1763226680,208.336
1763226680.79104,Baja,24,TLS,1514,443,52742,0x0010,16450,3003,2.17.211.234,192.168.174.137,128,True,296.0,0.04246950149536133,1763226680,208.336
1763226680.7912593,Baja,24,TLS,1514,443,52742,0x0010,32510,3003,2.17.211.234,192.168.174.137,128,True,16401.0,0.0002193450927734375,1763226680,208.336
1763226680.7913532,Baja,24,TLS,1514,443,52742,0x0010,48570,3003,2.17.211.234,192.168.174.137,128,True,16401.0,9.393692016601562e-05,1763226680,208.336
1763226680.7915125,Baja,24,TLS,1514,443,52742,0x0010,64630,3003,2.17.211.234,192.168.174.137,128,True,16401.0,0.00015926361083984375,1763226680,208.336
1763226680.8034685,Baja,24,TLS,1514,443,52742,0x0010,81730,3003,2.17.211.234,192.168.174.137,128,True,16401.0,0.011955976486206055,1763226680,208.336
1763226680.8044267,Baja,24,TLS,1514,443,52742,0x0010,97790,3003,2.17.211.234,192.168.174.137,128,True,16401.0,0.0009582042694091797,1763226680,208.336
1763226680.8070202,Baja,24,TLS,1514,443,52742,0x0010,115310,3003,2.17.211.234,192.168.174.137,128,True,16401.0,0.002593517303466797,1763226680,208.336
1763226680.8083093,Baja,24,TLS,1514,443,52742,0x0010,131008,3003,2.17.211.234,192.168.174.137,128,True,16401.0,0.0012891292572021484,1763226680,208.336
1763226680.8144305,Baja,24,TLS,1514,443,52742,0x0010,147010,3003,2.17.211.234,192.168.174.137,128,True,16401.0,0.006121158599853516,1763226680,208.336
1763226680.8159156,Baja,24,TLS,1514,443,52742,0x0010,164530,3003,2.17.211.234,192.168.174.137,128,True,16401.0,0.0014851093292236328,1763226680,208.336
1763226680.8209496,Baja,24,TLS,1514,443,52742,0x0010,180648,3003,2.17.211.234,192.168.174.137,128,True,16401.0,0.005033969879150391,1763226680,208.336
1763226680.82131,Baja,24,TLS,1514,443,52742,0x0010,196708,3003,2.17.211.234,192.168.174.137,128,True,16401.0,0.0003604888916015625,1763226680,208.336
1763226680.822114,Baja,24,TLS,1514,443,52742,0x0010,212768,3003,2.17.211.234,192.168.174.137,128,True,16401.0,0.0008039474487304688,1763226680,208.336
1763226680.8224564,Baja,24,TLS,1514,443,52742,0x0010,230288,3003,2.17.211.234,192.168.174.137,128,True,16401.0,0.00034236907958984375,1763226680,208.336
1763226680.8241563,Baja,24,TLS,1514,443,52742,0x0010,237588,3003,2.17.211.234,192.168.174.137,128,True,7754.0,0.0016999244689941406,1763226680,208.336
1763226680.8241565,Baja,24,TLS,1464,443,52742,0x0018,240508,3003,2.17.211.234,192.168.174.137,128,True,3422.0,2.384185791015625e-07,1763226680,208.336
1763226684.1676683,Baja,24,TLS,1514,36314,443,0x0010,1,1,192.168.174.137,199.232.34.248,64,True,,3.3435118198394775,1763226684,1730.344
1763226684.16769,Baja,24,TLS,575,36314,443,0x0018,1461,1,192.168.174.137,199.232.34.248,64,True,1976.0,2.1696090698242188e-05,1763226684,1730.344
1763226684.194062,Baja,24,TLS,1514,443,36314,0x0010,1,1982,199.232.34.248,192.168.174.137,128,True,1216.0,0.02637195587158203,1763226684,1730.344
1763226684.194063,Baja,24,TLS,141,443,36314,0x0018,1461,1982,199.232.34.248,192.168.174.137,128,True,210.0,9.5367431640625e-07,1763226684,1730.344
1763226684.1968534,Baja,24,TLS,118,36314,443,0x0018,1982,1548,192.168.174.137,199.232.34.248,64,True,1.0,0.0027904510498046875,1763226684,1730.344
1763226684.1977732,Baja,24,TLS,539,36314,443,0x0018,2046,1548,192.168.174.137,199.232.34.248,64,True,480.0,0.0009198188781738281,1763226684,1730.344
1763226684.2350497,Baja,24,TLS,1514,443,36314,0x0010,1548,2531,199.232.34.248,192.168.174.137,128,True,705.0,0.037276506423950195,1763226684,1730.344
1763226684.2350504,Baja,24,TLS,1514,443,36314,0x0010,3008,2531,199.232.34.248,192.168.174.137,128,True,1395.0,7.152557373046875e-07,1763226684,1730.344
1763226684.2350507,Baja,24,TLS,1514,443,36314,0x0010,4468,2531,199.232.34.248,192.168.174.137,128,True,1395.0,2.384185791015625e-07,1763226684,1730.344
1763226684.235051,Baja,24,TLS,1514,443,36314,0x0010,5928,2531,199.232.34.248,192.168.174.137,128,True,1395.0,2.384185791015625e-07,1763226684,1730.344
1763226684.235051,Baja,24,TLS,1514,443,36314,0x0010,7388,2531,199.232.34.248,192.168.174.137,128,True,1395.0,0.0,1763226684,1730.344
1763226684.2350512,Baja,24,TLS,1514,443,36314,0x0010,8848,2531,199.232.34.248,192.168.174.137,128,True,1395.0,2.384185791015625e-07,1763226684,1730.344
1763226684.2350512,Baja,24,TLS,1514,443,36314,0x0010,10308,2531,199.232.34.248,192.168.174.137,128,True,1395.0,0.0,1763226684,1730.344
1763226684.2350514,Baja,24,TLS,1482,443,36314,0x0018,11768,2531,199.232.34.248,192.168.174.137,128,True,1395.0,2.384185791015625e-07,1763226684,1730.344
1763226684.236374,Baja,24,TLS,1514,443,36314,0x0010,13196,2531,199.232.34.248,192.168.174.137,128,True,1395.0,0.0013225078582763672,1763226684,1730.344
1763226684.2363741,Baja,24,TLS,1514,443,36314,0x0010,14656,2531,199.232.34.248,192.168.174.137,128,True,1395.0,2.384185791015625e-07,1763226684,1730.344
1763226684.2363744,Baja,24,TLS,1514,443,36314,0x0010,16116,2531,199.232.34.248,192.168.174.137,128,True,1395.0,2.384185791015625e-07,1763226684,1730.344
1763226684.238173,Baja,24,TLS,1514,443,36314,0x0010,33579,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.0017986297607421875,1763226684,1730.344
1763226684.241685,Baja,24,TLS,1514,443,36314,0x0010,49607,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.0035119056701660156,1763226684,1730.344
1763226684.2430816,Baja,24,TLS,1263,443,36314,0x0018,65619,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.0013966560363769531,1763226684,1730.344
1763226684.256786,Baja,24,TLS,1514,443,36314,0x0010,83099,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.013704538345336914,1763226684,1730.344
1763226684.2572742,Baja,24,TLS,1514,443,36314,0x0010,99159,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.00048804283142089844,1763226684,1730.344
1763226684.2574055,Baja,24,TLS,1514,443,36314,0x0010,115219,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.00013136863708496094,1763226684,1730.344
1763226684.2851944,Baja,24,TLS,1514,443,36314,0x0010,131119,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.027788877487182617,1763226684,1730.344
1763226684.2972927,Baja,24,TLS,1514,443,36314,0x0010,148379,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.012098312377929688,1763226684,1730.344
1763226684.29797,Baja,24,TLS,1514,443,36314,0x0010,164611,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.0006773471832275391,1763226684,1730.344
1763226684.2981586,Baja,24,TLS,1514,443,36314,0x0010,180671,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.00018858909606933594,1763226684,1730.344
1763226684.3009598,Baja,24,TLS,1514,443,36314,0x0010,196643,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.002801179885864258,1763226684,1730.344
1763226684.3026433,Baja,24,TLS,1514,443,36314,0x0010,214078,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.0016834735870361328,1763226684,1730.344
1763226684.306724,Baja,24,TLS,1514,443,36314,0x0010,230138,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.004080772399902344,1763226684,1730.344
1763226684.307951,Baja,24,TLS,1514,443,36314,0x0010,246198,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.0012269020080566406,1763226684,1730.344
1763226684.3090742,Baja,24,TLS,1514,443,36314,0x0010,262183,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.001123189926147461,1763226684,1730.344
1763226684.310146,Baja,24,TLS,1514,443,36314,0x0010,263643,2531,199.232.34.248,192.168.174.137,128,True,,0.001071929931640625,1763226684,1730.344
1763226684.3112452,Baja,24,TLS,1514,443,36314,0x0010,279195,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.0010991096496582031,1763226684,1730.344
1763226684.3131976,Baja,24,TLS,1514,443,36314,0x0010,295255,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.0019524097442626953,1763226684,1730.344
1763226684.31438,Baja,24,TLS,1514,443,36314,0x0010,311683,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.0011823177337646484,1763226684,1730.344
1763226684.3175414,Baja,24,TLS,1514,443,36314,0x0010,329151,2531,199.232.34.248,192.168.174.137,128,True,16401.0,0.0031614303588867188,1763226684,1730.344
